#time	ch1	delta1	ch2	delta2
2842	-0.07629396	0.0011148049302	-0.06779786	0.00282834437691
2852	-0.07514648	0.00180333752958	-0.06818849	0.00317580386468
2862	-0.07382812	0.00163116816901	-0.0671631	0.0037923471136
2872	-0.07373047	0.00113465717294	-0.06767577	0.00309933007182
2882	-0.07141113	0.00130676958646	-0.06655273	0.00354330708323
2892	-0.07053223	0.00112649771154	-0.06826172	0.00365102212478
2902	-0.06965332	0.00196241305428	-0.06684571	0.00332748972454
2912	-0.06972657	0.00176120421931	-0.0656494	0.00279528085995
2922	-0.069458	0.00144949167504	-0.06735839	0.00357221713406
2932	-0.06760255	0.00121310370476	-0.06513673	0.00235641843824
2942	-0.06708984	0.00134078659018	-0.06618651	0.00351841318593
2952	-0.06621094	0.00178673033903	-0.06589356	0.00244737984677
2962	-0.06621094	0.00234120445762	-0.06594239	0.00391760575874
2972	-0.06472167	0.00193919872424	-0.06623536	0.0036360557422
2982	-0.06364745	0.00160484142971	-0.06525879	0.00323714791767
2992	-0.06340332	0.000831866451782	-0.06733398	0.00308584634964
3002	-0.06250001	0.00164137957003	-0.06586914	0.00372311955253
3012	-0.06262207	0.00127443672189	-0.06545409	0.0035554912157
3022	-0.06147462	0.00163335992837	-0.06577148	0.00348906476546
3032	-0.05942382	0.00178473678776	-0.0654541	0.00374332480343
3042	-0.05930175	0.00109972438843	-0.06535644	0.00400130199515
3052	-0.05698242	0.00171314566619	-0.06547851	0.00347812341197
3062	-0.05625	0.00149783265287	-0.06469728	0.00371061135497
3072	-0.05634766	0.00147619479148	-0.06501464	0.00337593979603
3082	-0.05471191	0.00210994290513	-0.06530762	0.00366578870908
3092	-0.05322264	0.00154020841914	-0.06486818	0.00352450615542
3102	-0.05339355	0.00141960459794	-0.06584475	0.00430276954978
3112	-0.05339356	0.00147316622022	-0.06474609	0.00382108780806
3122	-0.0520996	0.00056942246531	-0.0647461	0.00333644269005
3132	-0.05224609	0.00177735778697	-0.06398926	0.00286476972938
3142	-0.05139159	0.0011147928852	-0.06550292	0.0037219224043
3152	-0.05083008	0.000969220117208	-0.06464843	0.00307036182983
3162	-0.04941406	0.00123139617849	-0.06418458	0.00380803860847
3172	-0.05146484	0.00141434791915	-0.06530762	0.00380302990543
3182	-0.05153808	0.00134809583843	-0.06433107	0.00344099661815
3192	-0.0508545	0.00199554342624	-0.06472169	0.00353701224495
#3202	-0.0349365151	0.0235474699867	-0.046484383	0.0276358629201
3212	0.0010986303	0.00205788826822	-0.006835944	0.00353794107338
3222	0.0009277333	0.000808248955779	-0.007104489	0.00341351581074
3232	0.0002685537	0.00173820507409	-0.0064453119	0.00466327480932
3242	0.0014648422	0.00108085679154	-0.008203125	0.00326309571428
3252	0.0017822271	0.00138559288	-0.006152345	0.00430657908548
3262	0.0022216804	0.00192066020034	-0.007128906	0.00419722647437
3272	0.0004394517	0.00175984669833	-0.0084472692	0.00378567745335
3282	0.0013671894	0.00147376896333	-0.0061523322	0.00401726853211
3292	0.000683592	0.00160019181819	-0.006591793	0.00397431328751
3302	0.0007812504	0.00116473323954	-0.007568359	0.00346645806888
3312	0.0005371102	0.00165151612104	-0.0051513582	0.00378132757637
3322	0.0013916019	0.00183040298836	-0.007690429	0.00339039009377
3332	0.0013916017	0.000995005132924	-0.006298833	0.00324955706401
3342	0.0010742194	0.00161280662699	-0.0064208903	0.00389715088879
3352	0.0013916007	0.00167392145771	-0.007690428	0.00358687351942
3362	0.0009277342	0.00100543327201	-0.007568345	0.00324990426734
3372	0.000781251	0.00141433112305	-0.00583496	0.00368231478724
3382	0.0005126966	0.0014908574057	-0.009887699	0.00370459504365
3392	0.0008056629	0.0016233065266	-0.006982419	0.00305751202441
3402	0.0006347654	0.00123622796988	-0.0068603539	0.00470938422426
3412	0.0012695321	0.00135404633896	-0.005688481	0.00227208990715
3422	0.000512696	0.00176204691676	-0.006225591	0.00419219494619
3432	0.000415038	0.00184983779897	-0.005737308	0.00427804519347
3442	0.0003173825	0.00142378023486	-0.007885742	0.00451633232782
3452	0.0016601569	0.00106865718085	-0.0075927842	0.00328540089308
#3462	-2.44142e-05	0.0011982774404	-0.006616218	0.00517031703532
